"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2007/1/7",10,46,0,54,51,59,57,53,110
"2007/1/8",7,26,0,34,52,15,35,32,67
"2007/1/9",8,22,1,36,42,25,36,31,67
"2007/10/1",3,41,0,62,60,46,63,43,106
"2007/10/10",7,8,0,48,50,13,44,19,63
"2007/10/11",1,25,0,43,52,17,39,30,69
"2007/10/12",12,23,0,58,48,45,64,29,93
"2007/10/13",2,29,0,71,59,43,67,35,102
"2007/10/14",3,34,0,77,42,72,75,39,114
"2007/10/15",3,19,0,48,56,14,46,24,70
"2007/10/16",5,21,0,47,50,23,45,28,73
"2007/10/17",3,16,0,45,54,10,46,18,64
"2007/10/18",5,18,1,43,52,15,52,15,67
"2007/10/19",4,32,0,47,44,39,50,33,83
"2007/10/2",1,17,0,55,60,13,42,31,73
"2007/10/20",4,8,0,17,13,16,16,13,29
"2007/10/25",1,1,0,2,4,0,3,1,4
"2007/10/26",8,25,0,53,45,41,58,28,86
"2007/10/27",15,26,0,81,49,73,82,40,122
"2007/10/28",17,25,0,85,64,63,86,41,127
"2007/10/29",10,23,0,51,59,25,50,34,84
"2007/10/3",4,20,0,52,59,17,47,29,76
"2007/10/30",6,27,0,47,64,16,45,35,80
"2007/10/31",11,36,0,45,70,22,54,38,92
"2007/10/4",4,19,0,54,43,34,47,30,77
"2007/10/5",4,39,0,59,63,39,68,34,102
"2007/10/6",19,38,0,69,48,78,92,34,126
"2007/10/7",10,33,0,73,60,56,76,40,116
"2007/10/8",4,10,0,39,42,11,27,26,53
"2007/10/9",4,16,0,43,49,14,41,22,63
"2007/11/1",10,33,1,64,84,24,65,43,108
"2007/11/10",12,30,0,95,69,68,86,51,137
"2007/11/11",6,47,1,92,68,78,93,53,146
"2007/11/12",6,24,0,38,48,20,40,28,68
"2007/11/13",7,24,1,45,58,19,52,25,77
"2007/11/14",9,24,0,43,54,22,49,27,76
"2007/11/15",5,28,0,52,65,20,56,29,85
"2007/11/16",11,37,0,67,63,52,75,40,115
"2007/11/17",17,28,0,87,58,74,90,42,132
"2007/11/18",5,50,1,101,83,74,114,43,157
"2007/11/19",7,23,0,46,54,22,45,31,76
"2007/11/2",10,31,0,59,60,40,72,28,100
"2007/11/20",2,23,0,45,56,14,42,28,70
"2007/11/21",2,22,0,66,69,21,54,36,90
"2007/11/22",6,15,0,57,58,20,62,16,78
"2007/11/23",4,24,0,78,67,39,78,28,106
"2007/11/24",3,17,0,86,55,51,81,25,106
"2007/11/25",4,36,0,80,63,57,81,39,120
"2007/11/26",3,28,0,60,69,22,51,40,91
"2007/11/27",6,22,1,41,56,14,38,32,70
"2007/11/28",10,27,0,43,57,23,53,27,80
"2007/11/29",8,27,0,53,66,22,56,32,88
"2007/11/3",4,40,1,79,65,59,85,39,124
"2007/11/30",6,27,0,57,59,31,64,26,90
"2007/11/4",6,42,0,82,74,56,68,62,130
"2007/11/5",4,21,0,53,61,17,37,41,78
"2007/11/6",4,41,1,59,47,58,65,40,105
"2007/11/7",6,19,0,42,47,20,42,25,67
"2007/11/8",4,37,0,58,72,27,58,41,99
"2007/11/9",7,28,0,56,66,25,54,37,91
"2007/12/1",4,32,1,76,55,58,73,40,113
"2007/12/10",7,24,0,58,65,24,56,33,89
"2007/12/11",6,15,0,65,61,25,55,31,86
"2007/12/12",7,23,0,41,57,14,51,20,71
"2007/12/13",5,28,1,46,58,22,53,27,80
"2007/12/14",6,34,0,54,49,45,57,37,94
"2007/12/15",9,30,1,91,59,72,108,23,131
"2007/12/16",4,39,0,60,50,53,53,50,103
"2007/12/17",8,34,0,54,74,22,52,44,96
"2007/12/18",0,24,0,40,49,15,37,27,64
"2007/12/19",2,36,1,52,71,20,64,27,91
"2007/12/2",12,45,1,81,50,89,100,39,139
"2007/12/20",1,32,0,56,57,32,58,31,89
"2007/12/21",9,42,0,77,60,68,91,37,128
"2007/12/22",9,31,0,81,47,74,92,29,121
"2007/12/23",4,28,1,56,43,46,56,33,89
"2007/12/24",5,23,0,45,39,34,39,34,73
"2007/12/25",5,32,0,51,38,50,40,48,88
"2007/12/26",11,27,0,48,33,53,44,42,86
"2007/12/27",4,29,0,52,61,24,48,37,85
"2007/12/28",3,27,0,45,43,32,43,32,75
"2007/12/29",7,36,1,49,49,44,53,40,93
"2007/12/3",6,30,0,45,55,26,40,41,81
"2007/12/30",4,53,0,69,76,50,67,59,126
"2007/12/31",4,29,0,62,48,47,70,25,95
"2007/12/4",4,37,1,55,74,23,55,42,97
"2007/12/5",2,21,0,48,46,25,41,30,71
"2007/12/6",7,23,0,53,53,30,65,18,83
"2007/12/7",5,33,0,64,61,41,58,44,102
"2007/12/8",8,41,5,101,86,69,108,47,155
"2007/12/9",3,45,0,85,61,72,82,51,133
"2007/2/1",3,20,0,47,50,20,41,29,70
"2007/2/10",9,36,0,68,62,51,73,40,113
"2007/2/11",10,33,0,63,57,49,59,47,106
"2007/2/12",4,20,0,42,52,14,36,30,66
"2007/2/13",1,24,0,54,53,26,40,39,79
"2007/2/14",6,30,1,48,63,22,60,25,85
"2007/2/15",7,35,0,70,73,39,69,43,112
"2007/2/16",8,25,0,52,54,31,53,32,85
"2007/2/17",9,37,0,74,53,67,77,43,120
"2007/2/18",15,45,0,76,74,62,66,70,136
"2007/2/19",1,27,0,53,55,26,41,40,81
"2007/2/2",9,35,0,58,59,43,75,27,102
"2007/2/20",2,40,0,45,69,18,47,40,87
"2007/2/21",1,31,1,63,75,21,55,41,96
"2007/2/22",4,36,0,41,60,21,48,33,81
"2007/2/23",3,30,0,82,76,39,83,32,115
"2007/2/24",10,26,0,73,53,56,80,29,109
"2007/2/25",1,31,0,78,51,59,67,43,110
"2007/2/26",4,20,0,48,49,23,42,30,72
"2007/2/27",12,28,0,40,59,21,46,34,80
"2007/2/28",8,30,0,58,65,31,60,36,96
"2007/2/3",11,38,0,63,50,62,67,45,112
"2007/2/4",11,44,0,96,79,72,86,65,151
"2007/2/5",6,26,0,59,68,23,49,42,91
"2007/2/6",5,32,1,62,73,27,60,40,100
"2007/2/7",6,20,0,46,55,17,45,27,72
"2007/2/8",3,25,0,57,57,28,54,31,85
"2007/2/9",7,35,1,86,82,47,85,44,129
"2007/3/1",11,27,0,50,60,28,46,42,88
"2007/3/10",11,33,0,78,54,68,85,37,122
"2007/3/11",19,40,0,71,60,70,78,52,130
"2007/3/12",7,23,0,45,58,17,42,33,75
"2007/3/13",5,20,1,43,55,14,52,17,69
"2007/3/14",7,24,0,57,71,17,55,33,88
"2007/3/15",6,22,0,51,60,19,55,24,79
"2007/3/16",11,39,0,67,78,39,77,40,117
"2007/3/17",8,38,0,79,56,69,88,37,125
"2007/3/18",7,57,0,87,86,65,92,59,151
"2007/3/19",9,37,0,59,79,26,55,50,105
"2007/3/2",6,44,0,66,71,45,87,29,116
"2007/3/20",4,23,0,63,69,21,55,35,90
"2007/3/21",3,38,0,70,79,32,65,46,111
"2007/3/22",6,35,0,49,55,35,61,29,90
"2007/3/23",5,44,0,71,69,51,74,46,120
"2007/3/24",6,57,0,76,57,82,82,57,139
"2007/3/25",4,39,0,61,60,44,57,47,104
"2007/3/26",6,23,0,54,62,21,57,26,83
"2007/3/27",4,26,0,50,62,18,48,32,80
"2007/3/28",0,27,0,62,66,23,59,30,89
"2007/3/29",6,23,0,48,57,20,48,29,77
"2007/3/3",8,38,0,78,46,78,87,37,124
"2007/3/30",8,22,0,81,67,44,77,34,111
"2007/3/31",5,31,0,81,51,66,86,31,117
"2007/3/4",4,55,2,106,74,93,111,56,167
"2007/3/5",6,34,0,50,69,21,47,43,90
"2007/3/6",3,19,0,50,50,22,40,32,72
"2007/3/7",2,25,0,53,53,27,49,31,80
"2007/3/8",6,35,1,69,76,35,70,41,111
"2007/3/9",0,27,0,57,53,31,59,25,84
"2007/4/1",4,40,0,74,53,65,75,43,118
"2007/4/10",3,17,0,46,51,15,42,24,66
"2007/4/11",2,18,0,51,55,16,46,25,71
"2007/4/12",4,20,0,43,41,26,40,27,67
"2007/4/13",6,25,0,50,51,30,58,23,81
"2007/4/14",5,42,1,79,56,71,88,39,127
"2007/4/15",5,42,0,57,43,61,66,38,104
"2007/4/16",5,19,0,42,45,21,48,18,66
"2007/4/17",3,22,0,47,53,19,44,28,72
"2007/4/18",3,25,0,51,61,18,44,35,79
"2007/4/19",5,26,0,62,73,20,60,33,93
"2007/4/2",9,22,0,56,62,25,51,36,87
"2007/4/20",4,20,0,46,39,31,57,13,70
"2007/4/21",11,27,0,64,47,55,71,31,102
"2007/4/22",5,31,0,67,50,53,63,40,103
"2007/4/23",2,21,0,39,42,20,27,35,62
"2007/4/24",2,12,0,46,48,12,39,21,60
"2007/4/25",10,44,1,73,51,77,72,56,128
"2007/4/26",9,25,0,55,59,30,52,37,89
"2007/4/27",6,22,0,53,49,32,50,31,81
"2007/4/28",6,27,0,65,49,49,56,42,98
"2007/4/29",12,54,0,59,59,66,72,53,125
"2007/4/3",9,19,0,46,56,18,43,31,74
"2007/4/30",3,23,0,39,51,14,44,21,65
"2007/4/4",13,36,0,41,70,20,57,33,90
"2007/4/5",3,31,0,60,64,30,72,22,94
"2007/4/6",14,34,0,68,62,54,80,36,116
"2007/4/7",6,30,1,56,50,43,56,37,93
"2007/4/8",6,41,0,68,58,57,68,47,115
"2007/4/9",10,38,0,65,65,48,66,47,113
"2007/5/1",2,7,0,44,43,10,39,14,53
"2007/5/10",2,25,0,32,37,22,37,22,59
"2007/5/11",9,31,0,57,60,37,67,30,97
"2007/5/12",9,29,0,74,62,50,80,32,112
"2007/5/13",5,32,0,73,52,58,67,43,110
"2007/5/14",5,17,0,66,67,21,61,27,88
"2007/5/15",3,39,0,49,70,21,51,40,91
"2007/5/16",3,22,0,31,45,11,33,23,56
"2007/5/17",6,19,0,63,60,28,53,35,88
"2007/5/18",6,24,0,51,43,38,55,26,81
"2007/5/19",9,39,0,84,70,62,92,40,132
"2007/5/2",9,23,0,41,53,20,41,32,73
"2007/5/20",7,33,1,69,59,51,61,49,110
"2007/5/21",12,26,0,52,65,25,43,47,90
"2007/5/22",3,22,0,41,49,17,43,23,66
"2007/5/23",6,13,0,46,39,26,38,27,65
"2007/5/24",8,23,0,57,60,28,58,30,88
"2007/5/25",6,21,0,63,62,28,60,30,90
"2007/5/26",8,36,0,53,43,54,63,34,97
"2007/5/27",7,34,0,73,51,63,73,41,114
"2007/5/28",4,18,0,57,64,15,49,30,79
"2007/5/29",6,20,0,40,55,11,36,30,66
"2007/5/3",5,30,0,60,70,25,62,33,95
"2007/5/30",9,25,1,50,57,28,57,28,85
"2007/5/31",6,28,0,42,53,23,43,33,76
"2007/5/4",6,32,0,60,61,37,65,33,98
"2007/5/5",6,36,1,96,68,71,98,41,139
"2007/5/6",10,35,0,95,72,68,102,38,140
"2007/5/7",1,29,0,37,55,12,33,34,67
"2007/5/8",4,27,0,43,61,13,42,32,74
"2007/5/9",1,27,0,42,52,18,41,29,70
"2007/6/1",3,32,0,54,64,25,63,26,89
"2007/6/10",6,46,0,76,50,78,81,47,128
"2007/6/11",6,32,0,57,61,34,53,42,95
"2007/6/12",9,34,0,36,62,17,40,39,79
"2007/6/13",5,15,0,36,39,17,31,25,56
"2007/6/14",3,15,0,56,50,24,45,29,74
"2007/6/15",3,20,0,47,33,37,49,21,70
"2007/6/16",12,24,0,72,52,56,72,36,108
"2007/6/17",9,29,0,66,44,60,75,29,104
"2007/6/18",4,35,0,45,58,26,44,40,84
"2007/6/19",1,17,0,32,43,7,28,22,50
"2007/6/2",15,40,0,60,50,65,82,33,115
"2007/6/20",3,25,0,32,44,16,39,21,60
"2007/6/21",7,19,0,36,43,19,38,24,62
"2007/6/22",11,27,0,55,60,33,56,37,93
"2007/6/23",8,23,0,59,39,51,57,33,90
"2007/6/24",6,30,0,63,48,51,66,33,99
"2007/6/25",4,19,0,41,54,10,36,28,64
"2007/6/26",3,17,0,43,49,14,41,22,63
"2007/6/27",0,23,0,30,39,14,31,22,53
"2007/6/28",1,20,0,45,48,18,40,26,66
"2007/6/29",2,23,0,67,59,33,57,35,92
"2007/6/3",7,44,0,68,53,66,77,42,119
"2007/6/30",6,35,1,71,52,61,70,43,113
"2007/6/4",7,20,0,48,56,19,46,29,75
"2007/6/5",6,22,0,38,49,17,46,20,66
"2007/6/6",3,22,0,40,54,11,36,29,65
"2007/6/7",3,27,0,50,51,29,44,36,80
"2007/6/8",1,28,0,41,44,26,46,24,70
"2007/6/9",9,31,1,66,45,62,76,31,107
"2007/7/1",10,38,0,71,53,66,75,44,119
"2007/7/10",0,16,0,44,48,12,40,20,60
"2007/7/11",4,22,0,46,56,16,37,35,72
"2007/7/12",5,23,0,37,46,19,40,25,65
"2007/7/13",4,18,1,55,42,36,56,22,78
"2007/7/14",9,24,0,73,52,54,71,35,106
"2007/7/15",6,35,0,64,46,59,73,32,105
"2007/7/16",4,17,0,32,41,12,29,24,53
"2007/7/17",5,17,1,41,54,10,39,25,64
"2007/7/18",1,19,0,44,49,15,35,29,64
"2007/7/19",6,31,0,44,60,21,56,25,81
"2007/7/2",3,21,1,50,51,24,47,28,75
"2007/7/20",4,20,0,53,47,30,53,24,77
"2007/7/21",5,36,1,73,43,72,86,29,115
"2007/7/22",10,23,9,65,57,50,74,33,107
"2007/7/23",5,18,3,51,66,11,41,36,77
"2007/7/24",4,18,1,38,41,20,36,25,61
"2007/7/25",5,23,2,52,63,19,58,24,82
"2007/7/26",5,17,1,54,59,18,54,23,77
"2007/7/27",8,30,0,62,64,36,60,40,100
"2007/7/28",9,34,1,76,56,64,84,36,120
"2007/7/29",10,31,6,78,65,60,79,46,125
"2007/7/3",8,10,3,44,44,21,46,19,65
"2007/7/30",6,17,3,51,58,19,47,30,77
"2007/7/31",11,21,0,41,59,14,40,33,73
"2007/7/4",2,19,0,47,44,24,48,20,68
"2007/7/5",4,29,1,34,43,25,40,28,68
"2007/7/6",3,26,0,57,50,36,56,30,86
"2007/7/7",13,30,0,60,43,60,71,32,103
"2007/7/8",6,31,0,57,45,49,62,32,94
"2007/7/9",4,16,0,33,43,10,31,22,53
"2007/8/1",4,31,0,43,49,29,54,24,78
"2007/8/10",5,28,1,43,46,31,51,26,77
"2007/8/11",6,41,2,81,62,68,84,46,130
"2007/8/12",3,35,3,69,53,57,72,38,110
"2007/8/13",10,13,0,46,56,13,41,28,69
"2007/8/14",4,25,0,47,66,10,35,41,76
"2007/8/15",12,26,0,41,64,15,51,28,79
"2007/8/16",3,36,0,46,63,22,55,30,85
"2007/8/17",5,35,0,64,60,44,73,31,104
"2007/8/18",8,54,0,88,66,84,105,45,150
"2007/8/19",6,24,0,63,38,55,60,33,93
"2007/8/2",2,33,0,72,80,27,77,30,107
"2007/8/20",4,14,1,46,51,14,36,29,65
"2007/8/21",3,29,0,46,60,18,43,35,78
"2007/8/22",2,20,0,55,66,11,47,30,77
"2007/8/23",4,33,1,46,60,24,57,27,84
"2007/8/24",7,29,0,53,52,37,58,31,89
"2007/8/25",4,30,0,55,44,45,61,28,89
"2007/8/26",6,31,0,74,45,66,79,32,111
"2007/8/27",6,17,0,62,63,22,64,21,85
"2007/8/28",12,23,1,49,65,20,57,28,85
"2007/8/29",3,25,0,36,45,19,40,24,64
"2007/8/3",6,16,0,39,38,23,42,19,61
"2007/8/30",4,14,0,50,48,20,45,23,68
"2007/8/31",0,29,0,64,67,26,67,26,93
"2007/8/4",9,36,0,78,62,61,86,37,123
"2007/8/5",11,32,0,81,54,70,75,49,124
"2007/8/6",3,31,0,50,66,18,49,35,84
"2007/8/7",5,21,1,48,49,26,55,20,75
"2007/8/8",4,28,0,37,52,17,46,23,69
"2007/8/9",14,18,0,59,64,27,57,34,91
"2007/9/1",6,29,0,94,60,69,91,38,129
"2007/9/10",1,35,0,56,66,26,56,36,92
"2007/9/11",6,18,0,47,59,12,50,21,71
"2007/9/12",8,26,0,46,63,17,48,32,80
"2007/9/13",7,24,0,47,49,29,43,35,78
"2007/9/14",9,19,0,50,45,33,56,22,78
"2007/9/15",4,21,0,67,52,40,70,22,92
"2007/9/16",13,34,0,86,62,71,90,43,133
"2007/9/17",8,19,0,38,49,16,42,23,65
"2007/9/18",4,26,0,45,62,13,42,33,75
"2007/9/19",6,18,0,43,44,23,49,18,67
"2007/9/2",14,48,0,66,60,68,80,48,128
"2007/9/20",11,20,0,37,47,21,47,21,68
"2007/9/21",9,35,0,69,80,33,84,29,113
"2007/9/22",1,38,0,81,58,62,83,37,120
"2007/9/23",8,34,0,79,46,75,82,39,121
"2007/9/24",3,19,0,42,51,13,43,21,64
"2007/9/25",4,22,1,49,59,17,53,23,76
"2007/9/26",4,19,1,53,61,16,53,24,77
"2007/9/27",4,26,0,62,71,21,62,30,92
"2007/9/28",4,38,0,61,67,36,64,39,103
"2007/9/29",10,31,0,72,60,53,79,34,113
"2007/9/3",3,19,0,57,61,18,47,32,79
"2007/9/30",15,41,0,90,65,81,94,52,146
"2007/9/4",3,16,1,45,52,13,42,23,65
"2007/9/5",7,12,0,36,38,17,34,21,55
"2007/9/6",3,29,0,51,58,25,52,31,83
"2007/9/7",9,31,1,58,40,59,65,34,99
"2007/9/8",13,33,0,43,40,49,53,36,89
"2008/1/1",13,49,1,97,40,120,103,57,160
"2008/1/10",8,29,0,34,43,28,47,24,71
"2008/1/11",4,25,0,52,57,24,59,22,81
"2008/1/12",9,31,0,58,36,62,69,29,98
"2008/1/13",7,37,0,71,51,64,78,37,115
"2008/1/14",4,19,0,38,47,14,35,26,61
"2008/1/15",5,16,0,58,54,25,54,25,79
"2008/1/16",6,23,0,56,60,25,49,36,85
"2008/1/17",7,29,0,37,43,30,43,30,73
"2008/1/18",3,15,0,52,41,29,52,18,70
"2008/1/19",4,36,1,80,59,62,70,51,121
"2008/1/2",2,29,1,60,69,23,47,45,92
"2008/1/20",4,33,0,78,52,63,75,40,115
"2008/1/21",2,19,0,43,43,21,35,29,64
"2008/1/22",7,12,0,40,44,15,33,26,59
"2008/1/23",4,21,0,59,60,24,48,36,84
"2008/1/24",7,23,0,48,56,22,45,33,78
"2008/1/25",8,30,0,48,49,37,55,31,86
"2008/1/26",10,49,1,96,59,97,109,47,156
"2008/1/27",7,35,1,80,62,61,88,35,123
"2008/1/28",7,32,1,47,49,38,54,33,87
"2008/1/29",3,27,0,53,64,19,53,30,83
"2008/1/3",1,28,0,48,52,25,46,31,77
"2008/1/30",7,24,0,50,53,28,52,29,81
"2008/1/31",6,36,0,50,59,33,58,34,92
"2008/1/4",7,26,0,62,65,30,66,29,95
"2008/1/5",13,29,0,58,55,45,58,42,100
"2008/1/6",11,44,0,65,56,64,61,59,120
"2008/1/7",7,19,0,57,58,25,45,38,83
"2008/1/8",17,34,0,35,60,26,37,49,86
"2008/1/9",7,25,0,37,48,21,39,30,69
"2008/10/1",1,23,0,43,51,16,44,23,67
"2008/10/10",4,14,8,63,50,39,57,32,89
"2008/10/11",3,47,0,80,58,72,88,42,130
"2008/10/12",4,42,1,68,53,62,69,46,115
"2008/10/13",7,19,0,44,45,25,51,19,70
"2008/10/14",2,17,1,40,47,13,40,20,60
"2008/10/15",8,25,1,50,55,29,51,33,84
"2008/10/16",7,18,1,59,61,24,57,28,85
"2008/10/17",6,47,0,71,75,49,91,33,124
"2008/10/18",7,67,2,74,74,76,93,57,150
"2008/10/19",9,59,0,83,68,83,101,50,151
"2008/10/2",2,31,0,72,73,32,73,32,105
"2008/10/20",4,21,0,44,53,16,38,31,69
"2008/10/21",3,29,0,47,59,20,50,29,79
"2008/10/22",3,25,0,34,48,14,33,29,62
"2008/10/23",4,23,0,41,51,17,50,18,68
"2008/10/24",3,44,0,60,64,43,74,33,107
"2008/10/25",8,31,0,81,57,63,85,35,120
"2008/10/26",12,31,0,79,55,67,87,35,122
"2008/10/27",5,28,0,58,55,36,53,38,91
"2008/10/28",7,36,0,54,77,20,52,45,97
"2008/10/29",10,24,0,40,55,19,44,30,74
"2008/10/3",5,33,0,65,57,46,63,40,103
"2008/10/30",11,21,0,65,73,24,61,36,97
"2008/10/31",5,35,0,97,87,50,97,40,137
"2008/10/4",5,32,0,71,46,62,80,28,108
"2008/10/5",7,30,0,70,49,58,78,29,107
"2008/10/6",2,18,0,47,38,29,46,21,67
