Week,Ed
7/8/12,3
7/15/12,0
7/22/12,0
7/29/12,0
8/5/12,0
8/12/12,3
8/19/12,0
8/26/12,0
9/2/12,0
9/9/12,2
9/16/12,0
9/23/12,0
9/30/12,2
10/7/12,0
10/14/12,0
10/21/12,0
10/28/12,0
11/4/12,0
11/11/12,0
11/18/12,0
11/25/12,0
12/2/12,2
12/9/12,0
12/16/12,0
12/23/12,0
12/30/12,0
1/6/13,0
1/13/13,0
1/20/13,0
1/27/13,2
2/3/13,0
2/10/13,2
2/17/13,0
2/24/13,0
3/3/13,0
3/10/13,2
3/17/13,0
3/24/13,0
3/31/13,0
4/7/13,0
4/14/13,0
4/21/13,0
4/28/13,0
5/5/13,0
5/12/13,0
5/19/13,0
5/26/13,2
6/2/13,2
6/9/13,2
6/16/13,0
6/23/13,0
6/30/13,2
7/7/13,2
7/14/13,2
7/21/13,2
7/28/13,2
8/4/13,0
8/11/13,2
8/18/13,0
8/25/13,3
9/1/13,2
9/8/13,2
9/15/13,2
9/22/13,0
9/29/13,2
10/6/13,2
10/13/13,4
10/20/13,2
10/27/13,0
11/3/13,4
11/10/13,0
11/17/13,4
11/24/13,26
12/1/13,12
12/8/13,4
12/15/13,5
12/22/13,7
12/29/13,7
1/5/14,5
1/12/14,7
1/19/14,6
1/26/14,9
2/2/14,7
2/9/14,4
2/16/14,5
2/23/14,8
3/2/14,13
3/9/14,5
3/16/14,6
3/23/14,4
3/30/14,4
4/6/14,3
4/13/14,2
4/20/14,9
4/27/14,4
5/4/14,4
5/11/14,5
5/18/14,2
5/25/14,7
6/1/14,5
6/8/14,5
6/15/14,2
6/22/14,8
6/29/14,2
7/6/14,2
7/13/14,3
7/20/14,4
7/27/14,2
8/3/14,9
8/10/14,5
8/17/14,0
8/24/14,16
8/31/14,4
9/7/14,8
9/14/14,7
9/21/14,2
9/28/14,3
10/5/14,5
10/12/14,4
10/19/14,4
10/26/14,8
11/2/14,0
11/9/14,0
11/16/14,4
11/23/14,5
11/30/14,19
12/7/14,5
12/14/14,8
12/21/14,0
12/28/14,0
1/4/15,7
1/11/15,6
1/18/15,10
1/25/15,8
2/1/15,4
2/8/15,9
2/15/15,6
2/22/15,7
3/1/15,3
3/8/15,8
3/15/15,6
3/22/15,7
3/29/15,11
4/5/15,8
4/12/15,5
4/19/15,10
4/26/15,5
5/3/15,8
5/10/15,7
5/17/15,8
5/24/15,13
5/31/15,14
6/7/15,7
6/14/15,6
6/21/15,13
6/28/15,10
7/5/15,6
7/12/15,12
7/19/15,8
7/26/15,8
8/2/15,8
8/9/15,59
8/16/15,12
8/23/15,8
8/30/15,5
9/6/15,4
9/13/15,11
9/20/15,9
9/27/15,4
10/4/15,4
10/11/15,7
10/18/15,10
10/25/15,7
11/1/15,10
11/8/15,10
11/15/15,18
11/22/15,3
11/29/15,17
12/6/15,11
12/13/15,5
12/20/15,6
12/27/15,6
1/3/16,44
1/10/16,9
1/17/16,30
1/24/16,31
1/31/16,91
2/7/16,50
2/14/16,19
2/21/16,25
2/28/16,37
3/6/16,39
3/13/16,27
3/20/16,13
3/27/16,16
4/3/16,24
4/10/16,20
4/17/16,27
4/24/16,17
5/1/16,24
5/8/16,15
5/15/16,24
5/22/16,15
5/29/16,9
6/5/16,21
6/12/16,17
6/19/16,29
6/26/16,25
7/3/16,21
7/10/16,15
7/17/16,15
7/24/16,14
7/31/16,20
8/7/16,31
8/14/16,28
8/21/16,28
8/28/16,23
9/4/16,15
9/11/16,22
9/18/16,16
9/25/16,14
10/2/16,20
10/9/16,17
10/16/16,12
10/23/16,13
10/30/16,11
11/6/16,11
11/13/16,13
11/20/16,13
11/27/16,15
12/4/16,18
12/11/16,12
12/18/16,16
12/25/16,8
1/1/17,18
1/8/17,24
1/15/17,14
1/22/17,19
1/29/17,16
2/5/17,18
2/12/17,100
2/19/17,45
2/26/17,35
3/5/17,38
3/12/17,43
3/19/17,31
3/26/17,30
4/2/17,25
4/9/17,12
4/16/17,32
4/23/17,20
4/30/17,31
5/7/17,24
5/14/17,23
5/21/17,27
5/28/17,40
6/4/17,38
6/11/17,23
6/18/17,16
6/25/17,20
7/2/17,12